sitename,geometry,geo_point
Rippleside Node 2,"{""coordinates"":[144.3552448,-38.1274483],""type"":""Point""}","-38.1274483, 144.3552448"
Site G2 - Moorabool Pheonix Hotel,"{""coordinates"":[144.3612959,-38.1462279],""type"":""Point""}","-38.1462279, 144.3612959"
Portarlington cctv 4,"{""coordinates"":[144.653455,-38.115095],""type"":""Point""}","-38.115095, 144.653455"
Leopold Sports Ground cctv,"{""coordinates"":[144.4562418,-38.1858192],""type"":""Point""}","-38.1858192, 144.4562418"
St Leoanrds CCTV 1,"{""coordinates"":[144.717619,-38.1711637],""type"":""Point""}","-38.1711637, 144.717619"
Pt Henry Rd CCTV,"{""coordinates"":[144.4272372,-38.1412255],""type"":""Point""}","-38.1412255, 144.4272372"
Barwon Heads CCTV 4,"{""coordinates"":[144.4942149,-38.2816378],""type"":""Point""}","-38.2816378, 144.4942149"
Waurn Ponds Skate Park CCTV,"{""coordinates"":[144.3214271,-38.1986493],""type"":""Point""}","-38.1986493, 144.3214271"
Bob McGovan Walk CCTV,"{""coordinates"":[144.3575873,-38.1402005],""type"":""Point""}","-38.1402005, 144.3575873"
Pt Henry Mobile CCTV,"{""coordinates"":[144.4201601,-38.1380143],""type"":""Point""}","-38.1380143, 144.4201601"
Portarlington cctv 3,"{""coordinates"":[144.652869,-38.115017],""type"":""Point""}","-38.115017, 144.652869"
Ocean Grove Beach CCTV,"{""coordinates"":[144.5222543,-38.2715137],""type"":""Point""}","-38.2715137, 144.5222543"
Node Worksafe CCTV,"{""coordinates"":[144.3585746,-38.1465689],""type"":""Point""}","-38.1465689, 144.3585746"
Site I2 - Moorabool Taxi Rank,"{""coordinates"":[144.360438,-38.147728],""type"":""Point""}","-38.147728, 144.360438"
Node 8 Fountain,"{""coordinates"":[144.373959,-38.1475259],""type"":""Point""}","-38.1475259, 144.373959"
Gateway Sanctuary Leopold,"{""coordinates"":[144.4548249,-38.1875242],""type"":""Point""}","-38.1875242, 144.4548249"
Node Kardinia Park CCTV,"{""coordinates"":[144.3528004,-38.1593675],""type"":""Point""}","-38.1593675, 144.3528004"
Christies Rd,"{""coordinates"":[144.4748759,-38.1830572],""type"":""Point""}","-38.1830572, 144.4748759"
Rock O Cashel CCTV,"{""coordinates"":[144.360826,-38.1484688],""type"":""Point""}","-38.1484688, 144.360826"
Site C2 Brougham & Moorabool St,"{""coordinates"":[144.361579,-38.1450851],""type"":""Point""}","-38.1450851, 144.361579"
Site U LtMalop & Gheringhap,"{""coordinates"":[144.3577501,-38.1475238],""type"":""Point""}","-38.1475238, 144.3577501"
Portarlington cctv 2,"{""coordinates"":[144.652199,-38.114944],""type"":""Point""}","-38.114944, 144.652199"
Barwon Heads cctv 1,"{""coordinates"":[144.491515,-38.2818745],""type"":""Point""}","-38.2818745, 144.491515"
Dennys Walkthrough,"{""coordinates"":[144.3595408,-38.1471822],""type"":""Point""}","-38.1471822, 144.3595408"
Ocean Grove Beach CCTV,"{""coordinates"":[144.5229704,-38.2714758],""type"":""Point""}","-38.2714758, 144.5229704"
Bob McGovan Walk Rippleside CCTV,"{""coordinates"":[144.3572645,-38.1277916],""type"":""Point""}","-38.1277916, 144.3572645"
Site N - Ryrie and James,"{""coordinates"":[144.3586183,-38.1488633],""type"":""Point""}","-38.1488633, 144.3586183"
Drysdale Pub cctv,"{""coordinates"":[144.57143,-38.172976],""type"":""Point""}","-38.172976, 144.57143"
Highton Village cctv,"{""coordinates"":[144.3236408,-38.1719381],""type"":""Point""}","-38.1719381, 144.3236408"
Dennys Place Laneway CCTV,"{""coordinates"":[144.3591438,-38.1476505],""type"":""Point""}","-38.1476505, 144.3591438"
Node Goldsworthy Rd CCTV,"{""coordinates"":[144.3538927,-38.0801915],""type"":""Point""}","-38.0801915, 144.3538927"
Site S - Moorabool -Home House,"{""coordinates"":[144.361555,-38.145716],""type"":""Point""}","-38.145716, 144.361555"
Site V Ryrie & Moorabool,"{""coordinates"":[144.359598,-38.14937],""type"":""Point""}","-38.14937, 144.359598"
Vic Roads CCTV,"{""coordinates"":[144.362266,-38.150176],""type"":""Point""}","-38.150176, 144.362266"
Node 3 Steampacket Garden,"{""coordinates"":[144.3639407,-38.1440201],""type"":""Point""}","-38.1440201, 144.3639407"
Node Corio Leisure Centre CCTV,"{""coordinates"":[144.3372904,-38.0912508],""type"":""Point""}","-38.0912508, 144.3372904"
Site I- 7/11 Store Moorabool St,"{""coordinates"":[144.3603898,-38.1482579],""type"":""Point""}","-38.1482579, 144.3603898"
Site D - LtMalop & Short- Eureka,"{""coordinates"":[144.359803,-38.148116],""type"":""Point""}","-38.148116, 144.359803"
Barwon Heads cctv 2,"{""coordinates"":[144.4916974,-38.2808386],""type"":""Point""}","-38.2808386, 144.4916974"
Ocean Grove Carpark cctv,"{""coordinates"":[144.5230291,-38.2673706],""type"":""Point""}","-38.2673706, 144.5230291"
Node  Johnstone Park CCTV,"{""coordinates"":[144.356974,-38.146033],""type"":""Point""}","-38.146033, 144.356974"
Node 7 Richie Blvd End,"{""coordinates"":[144.371216,-38.146948],""type"":""Point""}","-38.146948, 144.371216"
Site Y1 - Ryrie & Yarra,"{""coordinates"":[144.362356,-38.149899],""type"":""Point""}","-38.149899, 144.362356"
Node 9 Hearne Parade,"{""coordinates"":[144.3828371,-38.1442212],""type"":""Point""}","-38.1442212, 144.3828371"
Node Labuan Sq CCTV,"{""coordinates"":[144.3602623,-38.0958558],""type"":""Point""}","-38.0958558, 144.3602623"
Node 1 Skate Park,"{""coordinates"":[144.360196,-38.142476],""type"":""Point""}","-38.142476, 144.360196"
Node The Fort CCTV,"{""coordinates"":[144.3602806,-38.0837342],""type"":""Point""}","-38.0837342, 144.3602806"
Goldsworthy Rd CCTV,"{""coordinates"":[144.3527178,-38.0797946],""type"":""Point""}","-38.0797946, 144.3527178"
Waurn Ponds Skate Park CCTV,"{""coordinates"":[144.3214177,-38.1985123],""type"":""Point""}","-38.1985123, 144.3214177"
Ocean Grove Beach CCTV,"{""coordinates"":[144.5231716,-38.2714357],""type"":""Point""}","-38.2714357, 144.5231716"
Site R - Yarra & Malop,"{""coordinates"":[144.363418,-38.147872],""type"":""Point""}","-38.147872, 144.363418"
High Street cctv,"{""coordinates"":[144.343158,-38.174611],""type"":""Point""}","-38.174611, 144.343158"
Worden Crt cctv,"{""coordinates"":[144.3948227,-38.1787607],""type"":""Point""}","-38.1787607, 144.3948227"
Ocean Grove Terrace 1 cctv,"{""coordinates"":[144.5227769,-38.2679013],""type"":""Point""}","-38.2679013, 144.5227769"
Site G3 - Malop St Myer Crossing,"{""coordinates"":[144.362131,-38.147736],""type"":""Point""}","-38.147736, 144.362131"
Labuan Sq CCTV,"{""coordinates"":[144.3600638,-38.0957101],""type"":""Point""}","-38.0957101, 144.3600638"
Melaluka Rd,"{""coordinates"":[144.4572858,-38.177909],""type"":""Point""}","-38.177909, 144.4572858"
Worden Crt Kinder cctv,"{""coordinates"":[144.3951335,-38.178766],""type"":""Point""}","-38.178766, 144.3951335"
Highton Village cctv,"{""coordinates"":[144.3241437,-38.1722344],""type"":""Point""}","-38.1722344, 144.3241437"
Ocean Grove Terrace 3 cctv,"{""coordinates"":[144.5242307,-38.2678877],""type"":""Point""}","-38.2678877, 144.5242307"
Node GPack,"{""coordinates"":[144.3564378,-38.1472709],""type"":""Point""}","-38.1472709, 144.3564378"
Eastern Gardens Carpark CCTV,"{""coordinates"":[144.3764436,-38.1470012],""type"":""Point""}","-38.1470012, 144.3764436"
St Leonards CCTV,"{""coordinates"":[144.7178887,-38.1709611],""type"":""Point""}","-38.1709611, 144.7178887"
